reference	damage_model_pmax	damage_model_p	coverage	nb_reads_aligned	qvalue
k39_12003	0.012	0.921	153.195	31201	0.0
k39_9676	0.012	0.827	134.142	12611	0.0
k39_5235	0.012	0.962	131.919	60799	0.0
k39_1624	0.012	0.916	131.294	2274	0.0
k39_6229	0.012	0.86	121.277	6647	0.0
k39_11406	0.012	0.782	117.66	2828	0.0
k39_12630	0.012	0.951	137.571	29220	0.0
k39_8469	0.012	0.99	166.769	2835	0.0
k39_11590	0.012	0.969	141.436	34777	0.0
k39_9703	0.012	0.99	190.955	4006	0.0
k39_12967	0.012	0.899	139.565	49220	0.0
k39_11256	0.012	0.959	147.408	9008	0.0
k39_6459	0.012	0.965	143.161	14030	0.0
k39_9740	0.012	0.99	170.832	16898	0.0
k39_13196	0.012	0.932	155.694	128242	0.0
k39_10403	0.012	0.944	163.902	8815	0.0
k39_12414	0.012	0.946	147.903	61161	0.0
k39_3955	0.012	0.99	128.563	4542	0.0
k39_7694	0.012	0.929	158.972	32065	0.0
k39_5750	0.012	0.969	134.898	12762	0.0
k39_5605	0.012	0.967	132.93	31635	0.0
k39_10426	0.012	0.938	128.032	37756	0.0
k39_9529	0.012	0.954	120.782	25114	0.0
k39_5483	0.012	0.99	79.708	1691	0.006
k39_10842	0.012	0.93	142.852	54263	0.0
k39_10326	0.012	0.928	127.664	34441	0.0
k39_8396	0.012	0.959	123.113	22943	0.0
k39_6167	0.012	0.953	149.304	9629	0.0
k39_6132	0.012	0.985	132.474	27558	0.0
k39_13185	0.012	0.914	145.676	23572	0.0
k39_5283	0.012	0.99	152.99	1832	0.001
k39_7352	0.012	0.801	161.664	2003	0.0
k39_3424	0.012	0.99	145.507	38997	0.0
k39_13037	0.012	0.976	153.487	17220	0.0
k39_9230	0.012	0.959	144.838	50354	0.0
k39_7074	0.012	0.99	154.889	39650	0.0
k39_12068	0.012	0.939	122.074	11731	0.0
k39_12048	0.012	0.896	138.898	39611	0.0
k39_13137	0.012	0.959	139.513	44647	0.0
k39_13219	0.012	0.904	145.48	35076	0.0
k39_6897	0.012	0.93	114.952	9648	0.0
k39_3591	0.012	0.888	142.837	4788	0.0
k39_12175	0.012	0.919	150.833	17442	0.0
k39_12683	0.012	0.951	161.228	74144	0.0
k39_637	0.012	0.928	147.383	44413	0.0
k39_10766	0.012	0.99	149.3	34705	0.0
k39_9219	0.012	0.97	130.477	5583	0.0
k39_2909	0.012	0.969	134.708	5864	0.0
k39_11393	0.012	0.965	136.379	7430	0.0
k39_7397	0.012	0.934	183.663	35549	0.0
k39_10700	0.012	0.858	146.266	16351	0.0
k39_12102	0.012	0.952	136.764	55256	0.0
k39_11892	0.012	0.96	142.992	19277	0.0
